checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
0<=X<200,existing paid,used car,100<=X<500,4<=X<7,male single,none,real estate,none,for free,skilled,none,yes,70,15344,4,2,27,2,2,good
no checking,existing paid,used car,>=1000,>=7,male single,none,real estate,none,own,skilled,none,yes,23,8185,2,1,25,1,1,good
no checking,critical/other existing credit,business,<100,>=7,male single,none,car,bank,own,unskilled resident,none,yes,65,2925,1,1,74,2,1,bad
>=200,critical/other existing credit,used car,100<=X<500,<1,female div/sep/mar,none,car,none,own,skilled,none,yes,61,11490,2,2,34,4,2,good
<0,critical/other existing credit,used car,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,25,4255,1,4,44,1,1,bad
<0,delayed previously,radio/tv,no known savings,1<=X<4,female div/sep/mar,guarantor,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,70,6794,2,3,53,3,2,bad
<0,delayed previously,furniture/equipment,no known savings,1<=X<4,male single,none,car,none,own,unskilled resident,yes,yes,51,17582,3,1,35,1,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,11,14638,1,1,41,4,1,good
no checking,existing paid,new car,100<=X<500,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,18,15209,1,4,26,4,1,good
no checking,existing paid,furniture/equipment,<100,unemployed,male single,none,real estate,bank,own,skilled,none,no,35,1944,3,1,20,2,1,good
<0,existing paid,new car,<100,unemployed,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,56,15003,1,1,49,4,1,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,70,16776,1,2,75,2,1,good
no checking,critical/other existing credit,business,<100,4<=X<7,male single,guarantor,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,7,6251,4,2,70,4,1,good
<0,no credits/all paid,new car,<100,<1,male single,none,real estate,stores,rent,skilled,none,yes,33,6902,3,4,75,2,1,good
<0,delayed previously,radio/tv,100<=X<500,4<=X<7,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,16,15235,4,1,50,3,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,no known property,none,rent,unemp/unskilled non res,yes,yes,24,4831,3,3,47,2,1,good
0<=X<200,existing paid,furniture/equipment,500<=X<1000,>=7,male div/sep,none,real estate,none,rent,unemp/unskilled non res,yes,yes,44,5337,2,2,21,2,1,good
0<=X<200,existing paid,business,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,22,1710,3,3,26,3,1,good
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,rent,unskilled resident,none,yes,51,4137,3,3,20,2,1,bad
0<=X<200,no credits/all paid,radio/tv,>=1000,<1,male single,none,car,none,own,skilled,yes,yes,66,15128,4,4,49,2,1,good
no checking,delayed previously,business,<100,1<=X<4,male single,none,car,none,own,unskilled resident,yes,yes,23,8734,1,4,69,3,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,67,10085,3,1,67,4,2,bad
0<=X<200,critical/other existing credit,business,100<=X<500,4<=X<7,male mar/wid,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,40,15893,1,4,55,1,1,bad
