hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
City Hotel,0,203,2015,February,49,7,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,D,F,0,Non Refund,1,Transient,128.54457931841526,0,2,Check-Out
Resort Hotel,0,380,2016,January,23,21,0,6,2,0,0,BB,BRA,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,2,Transient-Party,58.885943865975136,0,0,Canceled
City Hotel,0,211,2016,August,39,16,1,2,1,0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,70.03498357280327,0,0,Check-Out
Resort Hotel,1,334,2016,September,10,17,3,4,2,0,0,BB,Other,Online TA,Corporate,0,0,0,A,E,0,No Deposit,0,Transient,54.51726936563119,0,2,Check-Out
Resort Hotel,1,172,2017,August,17,28,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,1,Transient,175.36866254358029,0,0,Check-Out
City Hotel,1,152,2016,June,50,25,1,1,2,0,1,BB,PRT,Direct,TA/TO,0,1,0,B,A,0,No Deposit,2,Transient-Party,45.84895805452886,0,0,Check-Out
City Hotel,1,306,2016,August,37,13,0,3,2,2,0,HB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,32.617766969911315,1,0,Check-Out
Resort Hotel,1,246,2016,July,28,24,0,3,2,0,0,BB,PRT,Direct,TA/TO,0,0,1,D,G,0,No Deposit,0,Transient,150.4445474152299,0,1,Canceled
City Hotel,0,528,2015,June,15,13,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,G,K,0,No Deposit,2,Transient,70.72710269951817,0,1,Check-Out
Resort Hotel,0,551,2016,November,10,1,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,139.84425149875807,0,1,Check-Out
City Hotel,0,276,2016,September,32,5,2,2,2,0,0,HB,PRT,Corporate,TA/TO,0,0,1,D,F,1,No Deposit,1,Transient,69.18263849795558,0,1,Check-Out
City Hotel,1,361,2015,November,24,15,5,2,2,0,0,HB,USA,Online TA,TA/TO,0,1,1,A,A,0,No Deposit,1,Transient-Party,131.95142614287485,0,0,Check-Out
City Hotel,0,411,2015,January,43,25,1,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,2,G,A,0,No Deposit,0,Transient,126.72117556151476,0,0,Check-Out
Resort Hotel,1,136,2016,November,31,21,2,3,1,3,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient-Party,175.2791752267119,0,1,Check-Out
City Hotel,0,630,2016,July,4,13,2,5,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,1,Transient-Party,153.54256178561064,0,0,Check-Out
