id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,2014-05-02 00:00:00,626372.1154532032,9,2.5,9486,111836,2.5,0,4,4,12,4887,841,1991,1955,98159,47.338933,-122.01497,3174,193255
2,2014-05-02 01:00:00,401601.2617571007,5,3.0,5173,95840,1.5,0,0,1,9,7581,4472,2012,1963,98066,47.415544,-121.420506,3402,168090
3,2014-05-02 02:00:00,696192.8447096949,8,3.0,10250,34324,3.5,0,4,4,9,3176,3153,1964,1988,98192,47.554103,-121.962652,3346,75416
4,2014-05-02 03:00:00,1284809.3499231732,8,2.0,10369,112171,1.5,0,4,3,11,2249,4444,1992,1945,98163,47.610585,-121.355088,3575,177355
5,2014-05-02 04:00:00,375529.623427449,5,4.0,2602,12376,2.0,0,2,2,7,3625,682,1904,1991,98152,47.375937,-122.557992,3154,74825
6,2014-05-02 05:00:00,375533.93920463114,8,3.5,8979,31477,2.5,0,1,1,4,7502,1396,1941,1974,98185,47.143249,-122.385843,2914,114507
7,2014-05-02 06:00:00,1336345.183854428,8,3.5,9276,42195,3.5,0,3,2,5,5033,104,1987,1967,98190,47.501768,-122.553982,5826,73466
8,2014-05-02 07:00:00,757064.9367215306,5,7.5,3194,159665,2.0,0,4,3,8,450,1749,1961,1982,98154,47.570077,-121.588094,2900,63703
9,2014-05-02 08:00:00,318496.87102397025,5,3.0,13452,164573,3.5,0,4,3,13,6864,2138,1941,1954,98176,47.708916,-122.288136,835,56226
10,2014-05-02 09:00:00,646799.7566901121,4,0.5,8684,59807,3.5,0,4,2,8,2216,3446,1980,1962,98057,47.632578,-122.374648,3577,187410
11,2014-05-02 10:00:00,319850.06401894125,1,2.0,3678,164374,1.5,0,0,5,12,5144,3077,1994,1995,98053,47.632581,-121.638048,1345,106486
12,2014-05-02 11:00:00,319332.82374669414,9,6.0,12077,12942,3.5,0,2,2,12,4200,3873,1967,1976,98193,47.198526,-122.448444,2589,52072
13,2014-05-02 12:00:00,524066.3566407314,2,5.0,6500,31899,3.0,0,3,2,6,7072,3074,1984,2005,98073,47.712796,-121.473229,941,94521
14,2014-05-02 13:00:00,115925.59347722415,1,7.5,7117,61828,2.0,0,1,4,8,1588,1223,1942,1949,98073,47.587029,-121.954858,4004,58611
15,2014-05-02 14:00:00,132264.30592826815,6,5.5,10012,136114,1.0,0,2,4,11,1905,3272,2002,1948,98119,47.764361,-121.924729,2365,92679
16,2014-05-02 15:00:00,298462.2474259491,5,2.0,8622,176161,1.0,0,0,5,10,562,4155,1947,1974,98134,47.547731,-122.140702,4212,96240
17,2014-05-02 16:00:00,217731.56193955775,1,1.5,6198,11299,3.5,0,2,4,3,3522,457,1959,1934,98032,47.455956,-122.279385,5058,148098
18,2014-05-02 17:00:00,551266.2219129471,7,4.5,3329,3452,2.0,0,0,2,9,2417,2868,2008,1969,98172,47.356605,-121.306483,2172,92062
19,2014-05-02 18:00:00,234305.9800306926,7,5.5,4557,193898,1.0,0,0,5,11,1401,2999,2015,1967,98024,47.453151,-122.152767,4460,75801
20,2014-05-02 19:00:00,164618.73943354082,3,1.5,9459,109108,3.0,0,2,4,4,3436,2165,1982,1984,98052,47.155291,-122.042155,4885,184753
21,2014-05-02 20:00:00,1234225.4166063447,8,5.0,12891,196803,2.5,0,3,1,12,3519,2695,1978,1994,98050,47.410477,-121.626295,1130,29371
22,2014-05-02 21:00:00,377738.18020778126,6,7.0,1339,48144,3.0,0,0,2,4,3503,4454,1977,2006,98187,47.673233,-121.475634,956,110545
23,2014-05-02 22:00:00,463828.31097392103,4,6.0,2948,112206,1.0,0,1,5,9,4817,571,1996,1937,98116,47.385068,-122.097427,5049,9318
24,2014-05-02 23:00:00,163190.95050710076,10,5.5,6321,52015,3.5,0,3,1,3,6590,2849,2003,1972,98094,47.612068,-122.537385,480,8713
25,2014-05-03 00:00:00,302226.5234481893,10,6.5,5483,16789,2.5,0,4,4,12,2987,4007,1926,1986,98014,47.740719,-121.83513,4246,166911
26,2014-05-03 01:00:00,478133.7637453073,10,1.5,1157,63961,1.0,0,3,2,12,1346,4047,1988,1993,98023,47.357334,-121.660551,1923,111100
27,2014-05-03 02:00:00,197660.16482364578,3,2.0,7339,77073,2.0,0,4,5,7,1576,3551,2005,2004,98054,47.264105,-121.640975,4577,123862
28,2014-05-03 03:00:00,575496.6078391367,1,1.0,9581,175594,3.0,0,3,2,6,6555,3979,1992,1940,98025,47.150914,-122.339873,3292,50257
29,2014-05-03 04:00:00,290556.3804183496,2,1.5,7340,162198,2.5,0,3,1,3,8113,1529,1906,1957,98187,47.398986,-121.707818,3339,34271
30,2014-05-03 05:00:00,360704.51175510156,2,7.5,2023,9396,1.5,0,2,5,4,6676,1051,1959,1944,98108,47.652434,-121.300921,2464,53047
31,2014-05-03 06:00:00,290339.25743433466,5,2.0,1630,147147,3.0,0,3,5,10,3787,1327,1982,2013,98069,47.175319,-122.261447,2236,23859
32,2014-05-03 07:00:00,1617827.4536360714,4,5.5,12324,138945,1.5,0,3,1,13,4937,4128,1991,1971,98052,47.610406,-122.082797,6034,110768
33,2014-05-03 08:00:00,438253.12907233025,2,5.5,3732,5113,2.0,0,2,5,5,4648,3845,1980,1992,98162,47.369515,-122.144446,3510,193744
34,2014-05-03 09:00:00,210997.66577744394,9,5.5,5850,101018,3.5,0,4,2,10,508,834,1953,1947,98001,47.487199,-122.280473,2685,26615
35,2014-05-03 10:00:00,786840.97208364,7,4.5,11233,36479,1.0,0,1,5,8,1105,240,1977,1985,98084,47.722406,-121.765649,665,128534
36,2014-05-03 11:00:00,188228.03238601296,8,4.0,10851,121527,2.0,0,3,5,7,5761,683,1986,1994,98190,47.331668,-122.345694,5549,21928
37,2014-05-03 12:00:00,512063.8055660242,8,3.5,4757,111617,1.5,0,4,4,7,6991,3005,1946,1950,98173,47.584016,-121.980056,4117,38326
38,2014-05-03 13:00:00,112221.61642618671,2,7.5,11046,26147,2.5,0,4,5,13,2922,1658,1927,1991,98067,47.535641,-121.753438,4004,57760
39,2014-05-03 14:00:00,174602.94087951904,5,0.5,9321,133043,2.0,0,4,1,5,2777,1897,1955,1986,98033,47.702615,-122.333333,4191,162544
40,2014-05-03 15:00:00,507779.6461872355,3,1.0,3495,89065,1.0,0,2,2,8,9311,3811,1934,1943,98151,47.139575,-121.397616,4965,57571
41,2014-05-03 16:00:00,741867.9979576698,10,4.0,7041,196271,2.5,0,1,1,8,8749,1796,1969,1990,98040,47.570086,-121.630194,1970,43892
42,2014-05-03 17:00:00,498798.65525943926,9,3.0,4515,33234,2.5,0,1,5,10,7486,4276,1937,1969,98183,47.339095,-121.643322,2491,171935
43,2014-05-03 18:00:00,408009.68968336825,9,3.5,11403,76595,1.0,0,4,3,6,2472,506,1956,1999,98170,47.20556,-121.763328,647,108258
44,2014-05-03 19:00:00,358336.37280541885,6,8.0,11408,127085,2.5,0,1,3,5,4481,4150,1939,1969,98168,47.760408,-121.838156,5252,161534
45,2014-05-03 20:00:00,157162.346898868,4,6.5,6702,33783,3.5,0,1,3,12,4656,987,1919,1957,98112,47.580351,-121.453284,6080,98438
46,2014-05-03 21:00:00,267295.2292712902,8,7.0,12146,51750,3.5,0,3,2,8,2791,600,1992,1938,98113,47.333308,-121.446601,2398,95110
47,2014-05-03 22:00:00,320472.8563972646,5,3.5,10568,167692,3.0,0,2,3,11,1856,3693,1958,1984,98064,47.132879,-121.968217,3430,76973
48,2014-05-03 23:00:00,927256.5491911807,3,2.5,7195,160753,2.5,0,3,5,5,584,1121,2009,2002,98012,47.734592,-121.758647,990,96299
49,2014-05-04 00:00:00,562717.386166107,8,6.5,3618,42503,1.5,0,2,4,10,8338,1816,1900,2011,98021,47.579183,-122.200948,4952,166000
50,2014-05-04 01:00:00,128781.42819794013,6,6.5,11268,139172,3.0,0,4,2,5,8745,2190,2001,1967,98158,47.516006,-122.196894,1065,89546
51,2014-05-04 02:00:00,555075.144232139,5,4.5,7233,191180,2.0,0,0,1,7,1366,3746,1938,2008,98105,47.365046,-121.861285,404,29092
52,2014-05-04 03:00:00,337878.7572347564,1,7.0,5745,98950,2.5,0,3,2,6,5830,4095,1980,1939,98012,47.195142,-121.955427,3332,160850
53,2014-05-04 04:00:00,275448.126088338,3,8.0,11434,199001,1.0,0,1,1,8,4320,1320,1977,1989,98021,47.480369,-121.529318,3218,94457
54,2014-05-04 05:00:00,678862.1740349472,7,4.0,2607,117348,3.0,0,3,1,9,605,4371,1985,1991,98033,47.739628,-121.490432,5686,138925
55,2014-05-04 06:00:00,910454.9200734181,3,2.0,6337,187593,2.5,0,0,1,13,3784,761,1938,1975,98093,47.797504,-122.51774,5887,104246
56,2014-05-04 07:00:00,849069.2965844767,1,4.5,1853,196047,1.5,0,0,3,5,4088,4727,2013,1954,98126,47.192331,-121.68882,2813,111669
