InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
536365,21207,PRODUCT_73,84,12/01/2010 00:00,1.456929725703238,14642.0,EIRE,122.382096959072
536366,27666,PRODUCT_289,66,12/01/2010 00:30,7.875661209182869,12358.0,Spain,519.7936398060693
536367,23807,PRODUCT_101,84,12/01/2010 01:00,7.19653351359975,13972.0,United Kingdom,604.508815142379
536368,28207,PRODUCT_300,58,12/01/2010 01:30,3.991126997852837,12541.0,United Kingdom,231.48536587546457
536369,21493,PRODUCT_136,92,12/01/2010 02:00,5.09254268985607,14619.0,United Kingdom,468.51392746675845
536370,29461,PRODUCT_486,4,12/01/2010 02:30,1.6089836521161485,12421.0,United Kingdom,6.435934608464594
536371,24701,PRODUCT_28,98,12/01/2010 03:00,7.81079100774793,,United Kingdom,765.4575187592972
536372,23616,PRODUCT_395,34,12/01/2010 03:30,13.562705482286557,13747.0,United Kingdom,461.13198639774293
536373,26292,PRODUCT_12,56,12/01/2010 04:00,4.016077328091297,12366.0,United Kingdom,224.90033037311264
536374,23523,PRODUCT_122,61,12/01/2010 04:30,2.915468713240819,15164.0,United Kingdom,177.84359150768995
536375,29035,PRODUCT_397,81,12/01/2010 05:00,0.6133203856184597,16192.0,United Kingdom,49.678951235095234
536376,H5882,PRODUCT_473,83,12/01/2010 05:30,6.962351916094658,13896.0,United Kingdom,577.8752090358566
536377,21817,PRODUCT_157,85,12/01/2010 06:00,2.302662454249706,16575.0,United Kingdom,195.72630861122502
536378,28801,PRODUCT_251,95,12/01/2010 06:30,3.4916438898968414,12056.0,United Kingdom,331.70616954019994
536379,27480,PRODUCT_242,94,12/01/2010 07:00,5.413807833330447,15243.0,United Kingdom,508.897936333062
536380,27085,PRODUCT_380,12,12/01/2010 07:30,10.000350232208966,12522.0,United Kingdom,120.00420278650759
536381,R9260,PRODUCT_96,12,12/01/2010 08:00,5.943297639238305,12449.0,United Kingdom,71.31957167085966
536382,29717,PRODUCT_4,90,12/01/2010 08:30,5.722606063351171,17607.0,United Kingdom,515.0345457016055
536383,21096,PRODUCT_112,19,12/01/2010 09:00,1.9527116977049328,17468.0,United Kingdom,37.10152225639372
536384,29999,PRODUCT_338,52,12/01/2010 09:30,6.422743505581291,,United Kingdom,333.98266229022715
536385,26368,PRODUCT_468,55,12/01/2010 10:00,3.9410795142800414,17794.0,United Kingdom,216.7593732854023
536386,29445,PRODUCT_69,58,12/01/2010 10:30,4.809054438880008,12327.0,EIRE,278.92515745504045
536387,24148,PRODUCT_477,3,12/01/2010 11:00,7.580330906707062,17467.0,United Kingdom,22.740992720121188
536388,21287,PRODUCT_239,11,12/01/2010 11:30,2.0417436405590896,12277.0,Italy,22.459180046149985
536389,Q9636,PRODUCT_499,34,12/01/2010 12:00,1.8900265866694008,,United Kingdom,64.26090394675963
536390,25908,PRODUCT_209,78,12/01/2010 12:30,5.54814199077786,12280.0,United Kingdom,432.75507528067305
536391,23583,PRODUCT_437,95,12/01/2010 13:00,4.487873582604484,,United Kingdom,426.347990347426
536392,23314,PRODUCT_233,17,12/01/2010 13:30,3.225958889861877,17112.0,United Kingdom,54.84130112765191
536393,21574,PRODUCT_159,3,12/01/2010 14:00,6.343548032408071,13741.0,United Kingdom,19.03064409722421
536394,29845,PRODUCT_65,60,12/01/2010 14:30,8.804318285100674,14856.0,United Kingdom,528.2590971060405
536395,22230,PRODUCT_386,54,12/01/2010 15:00,6.163297807772679,12425.0,United Kingdom,332.8180816197247
536396,23229,PRODUCT_69,28,12/01/2010 15:30,2.220164026236329,17104.0,United Kingdom,62.164592734617216
536397,25066,PRODUCT_261,18,12/01/2010 16:00,1.782731317771571,17788.0,United Kingdom,32.089163719888276
536398,29003,PRODUCT_385,3,12/01/2010 16:30,4.313151088567402,12827.0,United Kingdom,12.939453265702205
536399,25127,PRODUCT_107,47,12/01/2010 17:00,0.5249899835549634,14274.0,United Kingdom,24.67452922708328
536400,23419,PRODUCT_462,83,12/01/2010 17:30,1.5194352399221875,14362.0,United Kingdom,126.11312491354157
536401,28091,PRODUCT_284,11,12/01/2010 18:00,3.990412616870925,17234.0,United Kingdom,43.894538785580174
536402,23233,PRODUCT_191,93,12/01/2010 18:30,8.517250692795134,13311.0,United Kingdom,792.1043144299474
536403,21729,PRODUCT_433,17,12/01/2010 19:00,2.1251572157293834,13942.0,United Kingdom,36.127672667399516
536404,21236,PRODUCT_75,86,12/01/2010 19:30,4.341891123460513,12094.0,United Kingdom,373.4026366176041
536405,23915,PRODUCT_134,38,12/01/2010 20:00,3.18442001802062,13199.0,United Kingdom,121.00796068478355
536406,23564,PRODUCT_138,18,12/01/2010 20:30,5.6977512193566024,17862.0,United Kingdom,102.55952194841885
536407,25358,PRODUCT_331,19,12/01/2010 21:00,1.1413423081227343,15461.0,United Kingdom,21.68550385433195
536408,22908,PRODUCT_67,45,12/01/2010 21:30,7.112344076632302,15576.0,United Kingdom,320.0554834484536
536409,23805,PRODUCT_460,29,12/01/2010 22:00,6.077234888939207,12046.0,Italy,176.23981177923702
536410,22798,PRODUCT_260,27,12/01/2010 22:30,1.5956633912493041,,United Kingdom,43.08291156373121
536411,23080,PRODUCT_258,98,12/01/2010 23:00,6.256734765994722,12220.0,United Kingdom,613.1600070674828
536412,27046,PRODUCT_44,90,12/01/2010 23:30,6.8093576186164055,14015.0,United Kingdom,612.8421856754765
536413,20486,PRODUCT_434,73,12/02/2010 00:00,4.594393249742079,,United Kingdom,335.39070723117175
536414,28344,PRODUCT_305,7,12/02/2010 00:30,6.954651828641104,16678.0,United Kingdom,48.68256280048773
536415,23676,PRODUCT_495,95,12/02/2010 01:00,0.6322913835833397,12430.0,United Kingdom,60.067681440417275
536416,29505,PRODUCT_350,95,12/02/2010 01:30,5.6885696486061565,16040.0,Belgium,540.4141166175849
536417,29803,PRODUCT_259,27,12/02/2010 02:00,4.356045639885831,13943.0,EIRE,117.61323227691744
536418,24541,PRODUCT_409,13,12/02/2010 02:30,8.536866000466894,,United Kingdom,110.97925800606961
536419,29449,PRODUCT_393,95,12/02/2010 03:00,4.065955866529398,16527.0,United Kingdom,386.2658073202928
536420,21175,PRODUCT_320,95,12/02/2010 03:30,7.660063330060052,16250.0,United Kingdom,727.706016355705
536421,21858,PRODUCT_237,48,12/02/2010 04:00,7.45311304153467,15608.0,United Kingdom,357.74942599366415
536422,22588,PRODUCT_247,2,12/02/2010 04:30,1.7259593510107063,14524.0,United Kingdom,3.4519187020214126
536423,24822,PRODUCT_21,5,12/02/2010 05:00,4.922772106613861,12958.0,United Kingdom,24.613860533069307
536424,26172,PRODUCT_121,43,12/02/2010 05:30,5.331447138087221,17746.0,United Kingdom,229.2522269377505
536425,26988,PRODUCT_12,41,12/02/2010 06:00,6.043353957993498,14827.0,United Kingdom,247.7775122777334
536426,26003,PRODUCT_55,27,12/02/2010 06:30,7.8742747426108775,14558.0,United Kingdom,212.60541805049368
536427,21975,PRODUCT_198,1,12/02/2010 07:00,7.144855189714806,15969.0,United Kingdom,7.144855189714806
536428,24920,PRODUCT_150,21,12/02/2010 07:30,2.330659910824263,,United Kingdom,48.943858127309525
536429,21669,PRODUCT_31,73,12/02/2010 08:00,3.3276739006132394,17482.0,United Kingdom,242.9201947447665
536430,20695,PRODUCT_206,54,12/02/2010 08:30,7.403142430267426,,United Kingdom,399.769691234441
536431,23069,PRODUCT_174,14,12/02/2010 09:00,5.58702141043176,,United Kingdom,78.21829974604464
536432,29675,PRODUCT_345,86,12/02/2010 09:30,3.939669784611067,17758.0,United Kingdom,338.81160147655174
536433,21046,PRODUCT_376,50,12/02/2010 10:00,4.979085144426941,15767.0,United Kingdom,248.95425722134706
536434,29736,PRODUCT_395,25,12/02/2010 10:30,6.161443743407242,14042.0,United Kingdom,154.03609358518105
536435,22653,PRODUCT_372,29,12/02/2010 11:00,5.16469586719708,15611.0,United Kingdom,149.77618014871533
536436,24484,PRODUCT_495,21,12/02/2010 11:30,6.327165169359602,16419.0,United Kingdom,132.87046855655163
536437,20778,PRODUCT_242,37,12/02/2010 12:00,3.187742860170844,16640.0,United Kingdom,117.94648582632122
536438,28464,PRODUCT_473,89,12/02/2010 12:30,6.733676812553201,15576.0,United Kingdom,599.2972363172348
536439,25009,PRODUCT_377,83,12/02/2010 13:00,1.4303836388419553,,United Kingdom,118.72184202388229
536440,29576,PRODUCT_340,89,12/02/2010 13:30,4.003380548887674,12692.0,Germany,356.300868851003
536441,25978,PRODUCT_70,70,12/02/2010 14:00,2.68964740203995,16599.0,United Kingdom,188.27531814279652
536442,20545,PRODUCT_329,48,12/02/2010 14:30,5.938068297068435,12106.0,United Kingdom,285.0272782592849
536443,28793,PRODUCT_246,68,12/02/2010 15:00,2.853563473184023,14085.0,United Kingdom,194.04231617651357
536444,21639,PRODUCT_151,77,12/02/2010 15:30,4.313239928207333,16322.0,United Kingdom,332.1194744719646
536445,20419,PRODUCT_55,57,12/02/2010 16:00,1.7939955401557706,13592.0,United Kingdom,102.25774578887892
536446,26327,PRODUCT_303,15,12/02/2010 16:30,8.164311750456488,16561.0,United Kingdom,122.46467625684731
536447,20544,PRODUCT_268,18,12/02/2010 17:00,3.676785411045745,17777.0,United Kingdom,66.18213739882341
536448,28347,PRODUCT_94,65,12/02/2010 17:30,7.946930243343109,17886.0,United Kingdom,516.5504658173021
536449,23244,PRODUCT_373,23,12/02/2010 18:00,6.5085667947323085,17020.0,United Kingdom,149.6970362788431
536450,26093,PRODUCT_448,4,12/02/2010 18:30,7.55385865198908,13535.0,United Kingdom,30.21543460795632
536451,22305,PRODUCT_478,77,12/02/2010 19:00,2.9323779792680478,12007.0,United Kingdom,225.7931044036397
536452,28939,PRODUCT_33,59,12/02/2010 19:30,4.908303238534142,12717.0,United Kingdom,289.58989107351437
536453,21412,PRODUCT_46,78,12/02/2010 20:00,8.875710013975326,12135.0,United Kingdom,692.3053810900753
536454,26141,PRODUCT_442,59,12/02/2010 20:30,4.875295965328389,16051.0,United Kingdom,287.64246195437494
536455,21785,PRODUCT_158,51,12/02/2010 21:00,2.8260462653426943,17509.0,United Kingdom,144.12835953247742
536456,24102,PRODUCT_333,45,12/02/2010 21:30,2.2958867746267773,14580.0,United Kingdom,103.31490485820498
536457,28955,PRODUCT_491,49,12/02/2010 22:00,5.502405191072187,14149.0,United Kingdom,269.6178543625372
536458,22740,PRODUCT_56,99,12/02/2010 22:30,2.241466644329739,15247.0,United Kingdom,221.90519778864416
536459,23461,PRODUCT_195,58,12/02/2010 23:00,3.7899859737988746,,United Kingdom,219.81918648033474
536460,24346,PRODUCT_466,58,12/02/2010 23:30,4.2749565878362645,16264.0,United Kingdom,247.94748209450336
536461,28491,PRODUCT_341,31,12/03/2010 00:00,4.464968366324083,14174.0,United Kingdom,138.41401935604657
536462,22758,PRODUCT_422,20,12/03/2010 00:30,11.893474721590334,14384.0,United Kingdom,237.8694944318067
536463,28312,PRODUCT_327,65,12/03/2010 01:00,10.563629971954885,13800.0,United Kingdom,686.6359481770676
536464,28819,PRODUCT_149,13,12/03/2010 01:30,2.9798981313731563,,United Kingdom,38.73867570785103
536465,22154,PRODUCT_283,5,12/03/2010 02:00,0.8327262749402449,,United Kingdom,4.163631374701224
536466,28809,PRODUCT_391,23,12/03/2010 02:30,11.900668408667961,15775.0,United Kingdom,273.7153733993631
536467,26424,PRODUCT_200,26,12/03/2010 03:00,3.756094667293547,14767.0,United Kingdom,97.65846134963222
536468,29125,PRODUCT_121,57,12/03/2010 03:30,6.317275006105696,13703.0,United Kingdom,360.0846753480247
536469,24409,PRODUCT_164,78,12/03/2010 04:00,6.850334954947192,15429.0,United Kingdom,534.326126485881
536470,T1196,PRODUCT_442,65,12/03/2010 04:30,9.461845200476544,14430.0,Germany,615.0199380309754
536471,Q4235,PRODUCT_238,10,12/03/2010 05:00,4.770970294585096,,United Kingdom,47.709702945850964
536472,25931,PRODUCT_400,21,12/03/2010 05:30,0.46632680691683337,15124.0,United Kingdom,9.7928629452535
536473,28339,PRODUCT_87,13,12/03/2010 06:00,2.003087456721841,14610.0,United Kingdom,26.040136937383934
536474,29278,PRODUCT_255,45,12/03/2010 06:30,3.5364929932725366,17352.0,United Kingdom,159.14218469726416
536475,20855,PRODUCT_330,51,12/03/2010 07:00,3.52605945908799,14757.0,United Kingdom,179.82903241348748
536476,28020,PRODUCT_294,10,12/03/2010 07:30,3.095498889644694,17401.0,United Kingdom,30.95498889644694
536477,20844,PRODUCT_218,93,12/03/2010 08:00,5.298879103165377,12469.0,United Kingdom,492.79575659438007
536478,25196,PRODUCT_391,48,12/03/2010 08:30,5.278149867817693,17387.0,United Kingdom,253.3511936552493
536479,24502,PRODUCT_381,2,12/03/2010 09:00,4.019315774763942,15680.0,Germany,8.038631549527883
536480,27868,PRODUCT_254,99,12/03/2010 09:30,3.3086538456572407,15063.0,United Kingdom,327.5567307200668
536481,28188,PRODUCT_159,39,12/03/2010 10:00,2.809005307452721,16718.0,United Kingdom,109.55120699065613
536482,22974,PRODUCT_270,33,12/03/2010 10:30,2.055119918286992,16130.0,United Kingdom,67.81895730347074
536483,26176,PRODUCT_318,41,12/03/2010 11:00,7.4190366318348815,16825.0,Portugal,304.18050190523013
536484,28283,PRODUCT_457,79,12/03/2010 11:30,7.913473578789579,12111.0,United Kingdom,625.1644127243767
536485,26291,PRODUCT_224,50,12/03/2010 12:00,5.650968383761076,17628.0,United Kingdom,282.5484191880538
536486,20243,PRODUCT_270,66,12/03/2010 12:30,4.618701327671584,15299.0,United Kingdom,304.8342876263245
536487,29408,PRODUCT_272,95,12/03/2010 13:00,6.937977035985837,15443.0,United Kingdom,659.1078184186545
536488,23534,PRODUCT_99,39,12/03/2010 13:30,0.9654636523716356,17825.0,United Kingdom,37.65308244249378
536489,28235,PRODUCT_372,83,12/03/2010 14:00,2.658185066829475,15996.0,United Kingdom,220.6293605468464
536490,22982,PRODUCT_413,85,12/03/2010 14:30,9.149560408971944,14289.0,United Kingdom,777.7126347626152
536491,E2202,PRODUCT_292,55,12/03/2010 15:00,5.474647240984806,15825.0,United Kingdom,301.10559825416436
536492,24109,PRODUCT_286,55,12/03/2010 15:30,3.10493511555672,,United Kingdom,170.7714313556196
536493,24606,PRODUCT_131,32,12/03/2010 16:00,4.524872795361242,15954.0,United Kingdom,144.79592945155974
536494,25881,PRODUCT_419,55,12/03/2010 16:30,3.289776051425415,12390.0,United Kingdom,180.9376828283978
536495,29469,PRODUCT_110,32,12/03/2010 17:00,6.161720116840435,,United Kingdom,197.17504373889392
536496,21531,PRODUCT_351,72,12/03/2010 17:30,13.978386117429483,12192.0,United Kingdom,1006.4438004549228
536497,24249,PRODUCT_338,17,12/03/2010 18:00,1.4879507302602644,12203.0,United Kingdom,25.295162414424496
536498,24510,PRODUCT_459,22,12/03/2010 18:30,1.051305836193063,17909.0,United Kingdom,23.128728396247386
536499,24928,PRODUCT_193,33,12/03/2010 19:00,6.357390332554656,16009.0,United Kingdom,209.79388097430365
536500,X9752,PRODUCT_297,15,12/03/2010 19:30,3.6097023107812296,17365.0,United Kingdom,54.14553466171844
536501,23213,PRODUCT_367,57,12/03/2010 20:00,6.597912683084864,16402.0,EIRE,376.08102293583727
536502,26770,PRODUCT_309,99,12/03/2010 20:30,1.3817612952449267,13635.0,United Kingdom,136.79436822924774
536503,21730,PRODUCT_470,98,12/03/2010 21:00,5.115014365621952,,United Kingdom,501.27140783095126
536504,26787,PRODUCT_422,23,12/03/2010 21:30,5.815603665009086,14650.0,United Kingdom,133.758884295209
536505,O8188,PRODUCT_368,63,12/03/2010 22:00,4.934191254657345,17345.0,United Kingdom,310.8540490434128
536506,24158,PRODUCT_140,97,12/03/2010 22:30,1.1583769849189145,,United Kingdom,112.36256753713471
536507,28763,PRODUCT_19,5,12/03/2010 23:00,3.7244756960427052,16892.0,United Kingdom,18.622378480213527
536508,28168,PRODUCT_379,97,12/03/2010 23:30,6.567504855331257,12057.0,United Kingdom,637.047970967132
536509,Q1690,PRODUCT_469,74,12/04/2010 00:00,6.661399089928782,13114.0,United Kingdom,492.9435326547299
536510,H4114,PRODUCT_109,86,12/04/2010 00:30,3.3856489847838174,12612.0,United Kingdom,291.1658126914083
536511,22257,PRODUCT_378,39,12/04/2010 01:00,2.2185861577261403,15119.0,United Kingdom,86.52486015131947
536512,26439,PRODUCT_121,28,12/04/2010 01:30,8.084926975099336,,United Kingdom,226.3779553027814
536513,29852,PRODUCT_56,68,12/04/2010 02:00,5.165635798426255,12854.0,United Kingdom,351.2632342929853
536514,25737,PRODUCT_232,37,12/04/2010 02:30,8.319734984709036,17699.0,United Kingdom,307.83019443423433
536515,24677,PRODUCT_360,10,12/04/2010 03:00,7.172140807536978,,United Kingdom,71.72140807536978
536516,29715,PRODUCT_132,91,12/04/2010 03:30,4.582548761676739,12182.0,United Kingdom,417.0119373125832
536517,22319,PRODUCT_123,37,12/04/2010 04:00,3.2282999741743565,12764.0,United Kingdom,119.44709904445119
536518,22159,PRODUCT_482,37,12/04/2010 04:30,7.192095753169902,15193.0,United Kingdom,266.1075428672864
536519,22061,PRODUCT_273,63,12/04/2010 05:00,6.995919452231645,17039.0,United Kingdom,440.7429254905936
536520,28820,PRODUCT_129,75,12/04/2010 05:30,0.024396474835918447,16871.0,United Kingdom,1.8297356126938835
536521,25049,PRODUCT_489,29,12/04/2010 06:00,2.9626131729378775,14341.0,United Kingdom,85.91578201519845
536522,24129,PRODUCT_46,3,12/04/2010 06:30,2.1047670506070197,13655.0,United Kingdom,6.314301151821059
536523,29029,PRODUCT_478,1,12/04/2010 07:00,4.413095134052649,14609.0,United Kingdom,4.413095134052649
536524,28135,PRODUCT_369,29,12/04/2010 07:30,1.0553045557555865,13720.0,United Kingdom,30.603832116912006
536525,28602,PRODUCT_184,35,12/04/2010 08:00,4.568511230985722,17765.0,Switzerland,159.89789308450028
536526,21960,PRODUCT_434,69,12/04/2010 08:30,2.1298833405191635,14764.0,United Kingdom,146.9619504958223
536527,29573,PRODUCT_476,60,12/04/2010 09:00,4.115062518429402,17722.0,United Kingdom,246.9037511057641
536528,27040,PRODUCT_345,23,12/04/2010 09:30,2.7239002953638174,17500.0,United Kingdom,62.6497067933678
536529,26843,PRODUCT_209,76,12/04/2010 10:00,2.6242047586415267,17246.0,United Kingdom,199.43956165675604
536530,22159,PRODUCT_338,50,12/04/2010 10:30,6.625041740038445,16136.0,United Kingdom,331.25208700192223
536531,26131,PRODUCT_407,6,12/04/2010 11:00,7.239781260937014,17856.0,United Kingdom,43.43868756562208
536532,L8734,PRODUCT_464,88,12/04/2010 11:30,5.882534282819364,17405.0,United Kingdom,517.663016888104
536533,24192,PRODUCT_103,20,12/04/2010 12:00,9.399340859286385,16418.0,United Kingdom,187.9868171857277
536534,29599,PRODUCT_404,99,12/04/2010 12:30,8.795137513986898,17320.0,United Kingdom,870.7186138847029
536535,27160,PRODUCT_276,64,12/04/2010 13:00,8.227790686954242,17546.0,United Kingdom,526.5786039650715
536536,24564,PRODUCT_164,25,12/04/2010 13:30,3.9088658017667766,16183.0,United Kingdom,97.72164504416942
536537,21927,PRODUCT_289,67,12/04/2010 14:00,1.3795704772516588,15910.0,Spain,92.43122197586113
536538,25468,PRODUCT_12,73,12/04/2010 14:30,1.8097031479301022,15568.0,United Kingdom,132.10832979889747
536539,23535,PRODUCT_410,80,12/04/2010 15:00,8.359679631546594,13845.0,United Kingdom,668.7743705237276
536540,26176,PRODUCT_423,49,12/04/2010 15:30,7.027741118078057,12635.0,United Kingdom,344.35931478582484
536541,E5796,PRODUCT_246,68,12/04/2010 16:00,10.076625941472638,16297.0,United Kingdom,685.2105640201394
536542,24506,PRODUCT_418,41,12/04/2010 16:30,2.8408517507360225,17916.0,United Kingdom,116.47492178017693
536543,26972,PRODUCT_168,15,12/04/2010 17:00,2.864890003502615,15180.0,EIRE,42.973350052539224
536544,22363,PRODUCT_46,89,12/04/2010 17:30,6.0722604420492345,15362.0,Australia,540.4311793423818
536545,25154,PRODUCT_425,87,12/04/2010 18:00,5.916619662646169,16467.0,United Kingdom,514.7459106502167
536546,25422,PRODUCT_115,33,12/04/2010 18:30,1.4955595922707063,13750.0,United Kingdom,49.35346654493331
536547,27835,PRODUCT_101,10,12/04/2010 19:00,7.748560128095917,16185.0,United Kingdom,77.48560128095917
536548,29539,PRODUCT_23,24,12/04/2010 19:30,4.38837746386451,17241.0,United Kingdom,105.32105913274823
536549,21297,PRODUCT_359,23,12/04/2010 20:00,5.902127663670777,15499.0,United Kingdom,135.74893626442787
536550,27457,PRODUCT_343,65,12/04/2010 20:30,7.3337340536654425,,United Kingdom,476.6927134882538
536551,25216,PRODUCT_24,94,12/04/2010 21:00,3.041825628661014,16583.0,United Kingdom,285.93160909413535
536552,26087,PRODUCT_158,5,12/04/2010 21:30,0.7094864115012958,15004.0,United Kingdom,3.547432057506479
536553,29613,PRODUCT_334,62,12/04/2010 22:00,6.117385382552953,16966.0,United Kingdom,379.2778937182831
536554,28060,PRODUCT_176,34,12/04/2010 22:30,1.047979639204419,,United Kingdom,35.63130773295025
536555,28859,PRODUCT_309,23,12/04/2010 23:00,7.784757886848992,14646.0,United Kingdom,179.04943139752683
536556,22290,PRODUCT_153,26,12/04/2010 23:30,1.9072655126102047,12706.0,United Kingdom,49.588903327865324
536557,25509,PRODUCT_479,49,12/05/2010 00:00,2.1004324981183857,15526.0,United Kingdom,102.9211924078009
536558,20258,PRODUCT_193,98,12/05/2010 00:30,2.0432503337282935,,United Kingdom,200.23853270537276
536559,22664,PRODUCT_83,21,12/05/2010 01:00,2.861871597689987,13711.0,United Kingdom,60.099303551489726
536560,22476,PRODUCT_65,59,12/05/2010 01:30,0.8349368193560265,,United Kingdom,49.26127234200556
536561,L4428,PRODUCT_431,62,12/05/2010 02:00,8.591909263494339,12336.0,United Kingdom,532.698374336649
536562,26332,PRODUCT_90,32,12/05/2010 02:30,4.343112827205964,14788.0,United Kingdom,138.97961047059084
536563,29783,PRODUCT_60,46,12/05/2010 03:00,1.8960578474622833,14925.0,United Kingdom,87.21866098326504
536564,23736,PRODUCT_312,49,12/05/2010 03:30,6.393068929704388,17130.0,United Kingdom,313.260377555515
536565,24744,PRODUCT_17,34,12/05/2010 04:00,4.801818214166349,12082.0,United Kingdom,163.26181928165585
536566,25626,PRODUCT_170,49,12/05/2010 04:30,1.2870878721974375,13817.0,United Kingdom,63.06730573767444
536567,S1711,PRODUCT_379,88,12/05/2010 05:00,3.9302355330445264,15075.0,United Kingdom,345.8607269079183
536568,25314,PRODUCT_325,65,12/05/2010 05:30,2.5847521699619866,14664.0,United Kingdom,168.00889104752912
536569,27691,PRODUCT_265,27,12/05/2010 06:00,9.708851732819866,16672.0,United Kingdom,262.1389967861364
536570,23403,PRODUCT_263,82,12/05/2010 06:30,1.0865150220266475,16804.0,United Kingdom,89.09423180618509
536571,21868,PRODUCT_466,23,12/05/2010 07:00,1.9634025317611883,14630.0,Norway,45.15825823050733
536572,23158,PRODUCT_280,43,12/05/2010 07:30,7.930762516358193,15925.0,Portugal,341.0227882034023
536573,26994,PRODUCT_460,26,12/05/2010 08:00,6.942927520942703,17848.0,United Kingdom,180.51611554451028
536574,21426,PRODUCT_26,21,12/05/2010 08:30,1.9168480577702787,17292.0,United Kingdom,40.25380921317585
536575,26117,PRODUCT_355,40,12/05/2010 09:00,3.060397751819119,16269.0,United Kingdom,122.41591007276476
536576,28001,PRODUCT_264,15,12/05/2010 09:30,2.2641512133041894,13471.0,United Kingdom,33.96226819956284
536577,21126,PRODUCT_259,55,12/05/2010 10:00,0.20888674240226957,14545.0,United Kingdom,11.488770832124827
536578,26752,PRODUCT_422,12,12/05/2010 10:30,3.316742252383049,12796.0,United Kingdom,39.80090702859659
536579,23983,PRODUCT_202,80,12/05/2010 11:00,6.1850914703086755,14634.0,United Kingdom,494.80731762469406
536580,25896,PRODUCT_491,24,12/05/2010 11:30,5.05570569358944,14266.0,Switzerland,121.33693664614655
536581,27451,PRODUCT_369,61,12/05/2010 12:00,2.386339524141743,12095.0,United Kingdom,145.56671097264632
536582,26282,PRODUCT_410,56,12/05/2010 12:30,6.5971285921040135,13914.0,Italy,369.43920115782475
536583,28704,PRODUCT_256,84,12/05/2010 13:00,3.71573834207646,13683.0,EIRE,312.1220207344226
536584,20393,PRODUCT_428,70,12/05/2010 13:30,6.214579462868272,15246.0,United Kingdom,435.02056240077906
536585,22026,PRODUCT_402,20,12/05/2010 14:00,1.1100768331771644,12170.0,United Kingdom,22.201536663543287
536586,23498,PRODUCT_339,97,12/05/2010 14:30,6.198205664284787,12499.0,United Kingdom,601.2259494356243
536587,21497,PRODUCT_429,37,12/05/2010 15:00,6.722311052948546,13870.0,United Kingdom,248.7255089590962
536588,26816,PRODUCT_351,13,12/05/2010 15:30,4.93611173604274,14179.0,United Kingdom,64.16945256855561
536589,22161,PRODUCT_275,41,12/05/2010 16:00,2.3413580803856173,12059.0,United Kingdom,95.99568129581031
